NIT,RAZON SOCIAL,AÑO,MES,SEECCIONAL,CONSUMO M3 MES ACUEDUCTO,CONSUMO M3 MES ALCANTARILLADO
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,AGUADAS,42783,40117
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,ANSERMA,69605,66275
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,ARAUCA,19360,17158
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,ARMA,4748,3688
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,BELALCAZAR,16756,12841
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,CHINCHINA,248391,227373
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,FILADELFIA,13722,12505
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,GUARINOCITO,17959,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,KILOMETRO 41,6355,2818
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,LA DORADA,410918,350860
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,MANZANARES,21848,17146
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,MARMATO,17498,9243
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,MARQUETALIA,21520,17928
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,MARULANDA,1928,1858
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,NEIRA,46833,45502
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,PALESTINA,20518,16776
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,RIOSUCIO,77431,72396
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,RISARALDA,19162,13663
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,SALAMINA,35497,34661
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,SAMANA,19228,15861
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,SAN JOSE,7527,3456
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,SUPIA,68898,53141
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,VICTORIA,15464,13232
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,ENERO,VITERBO,58606,48749
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,AGUADAS,32134,30127
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,ANSERMA,58503,56006
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,ARAUCA,17955,15800
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,ARMA,4565,3263
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,BELALCAZAR,16148,12498
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,CHINCHINA,271093,248669
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,FILADELFIA,11293,10382
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,GUARINOCITO,15718,0
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,KILOMETRO 41,6050,2692
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,LA DORADA,371313,315838
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,MANZANARES,74382,16438
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,MARMATO,15865,8775
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,MARQUETALIA,18559,15774
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,MARULANDA,1787,1723
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,NEIRA,37137,34723
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,PALESTINA,17753,14310
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,RIOSUCIO,67201,60710
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,RISARALDA,13831,10524
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,SALAMINA,29557,28906
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,SAMANA,16915,14247
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,SAN JOSE,7541,3383
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,SUPIA,56229,43974
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,VICTORIA,13803,11924
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,FEBRERO,VITERBO,52073,44832
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,MARZO,AGUADAS,38649,36149
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,MARZO,ANSERMA,65583,62382
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,MARZO,ARAUCA,17209,14987
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,MARZO,ARMA,3872,2962
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,MARZO,BELALCAZAR,13334,10205
890.803.239-9,Empresa de Obras Sanitarias de Caldas - Empocaldas S.A E.S.P,2015,MARZO,CHINCHINA,243413,225055
