AÑO,MES,CLASE_SERVICIO,SUSCRIPTORES,M3,PROMEDIO
2019,1,ESTRATO 1,8926,101971,11.42
2019,1,ESTRATO 2,20319,259819,12.79
2019,1,ESTRATO 3,37344,456571,12.23
2019,1,ESTRATO 4,16218,170113,10.49
2019,1,ESTRATO 5,5906,55119,9.33
2019,1,ESTRATO 6,10599,110229,10.4
2019,1,COMERCIAL,5929,121538,20.5
2019,1,INDUSTRIAL,183,74231,405.63
2019,1,OFICIAL,414,59803,144.45
2019,1,SUM. CONTRUCTOR,105,5568,53.03
2019,1,ESPECIAL,352,19105,54.28
2019,1,RURAL ESTRATO 1,1474,14871,10.09
2019,1,RURAL ESTRATO 2,1842,24873,13.5
2019,1,RURAL ESTRATO 3,777,11193,14.41
2019,1,RURAL ESTRATO 4,205,3897,19.01
2019,1,RURAL ESTRATO 5,97,1570,16.19
2019,1,RURAL ESTRATO 6,122,2741,22.47
2019,1,ESTRATO 1 Villamaria,27,312,11.56
2019,1,ESTRATO 2 Villamaria,8,52,6.5
2019,1,ESTRATO 3 Villamaria,3,60,20
2019,1,ESTRATO 4 Villamaria,730,11566,15.84
2019,1,COMERCIAL Villamaría,10,731,73.1
2019,1,INDUSTRIAL Villamaría,1,490,490
2019,1,ESPECIAL Villamaria,2,94,47
2019,1,SUM. CONSTRUCTOR Villamaría,2,448,224
2019,2,ESTRATO 1,8909,99228,11.14
2019,2,ESTRATO 2,20305,244064,12.02
2019,2,ESTRATO 3,37449,448257,11.97
2019,2,ESTRATO 4,16231,167574,10.32
2019,2,ESTRATO 5,5926,56518,9.54
2019,2,ESTRATO 6,10631,109718,10.32
2019,2,COMERCIAL,5939,112648,18.97
2019,2,INDUSTRIAL,182,86938,477.68
2019,2,OFICIAL,415,62090,149.61
2019,2,SUM. CONTRUCTOR,104,5629,54.13
2019,2,ESPECIAL,352,21940,62.33
2019,2,RURAL ESTRATO 1,1476,13564,9.19
2019,2,RURAL ESTRATO 2,1844,22648,12.28
2019,2,RURAL ESTRATO 3,782,10208,13.05
2019,2,RURAL ESTRATO 4,205,3387,16.52
2019,2,RURAL ESTRATO 5,97,1392,14.35
2019,2,RURAL ESTRATO 6,122,2033,16.66
2019,2,ESTRATO 1 Villamaria,27,304,11.26
2019,2,ESTRATO 2 Villamaria,8,56,7
2019,2,ESTRATO 3 Villamaria,3,65,21.67
2019,2,ESTRATO 4 Villamaria,730,11810,16.18
2019,2,COMERCIAL Villamaría,10,1584,158.4
2019,2,INDUSTRIAL Villamaría,1,475,475
2019,2,ESPECIAL Villamaria,2,177,88.5
2019,2,SUM. CONSTRUCTOR Villamaría,2,398,199
2019,3,ESTRATO 1,8919,98330,11.02
2019,3,ESTRATO 2,20318,238803,11.75
2019,3,ESTRATO 3,37602,440264,11.71
2019,3,ESTRATO 4,16277,164120,10.08
2019,3,ESTRATO 5,5951,56457,9.49
2019,3,ESTRATO 6,10650,108178,10.16
2019,3,COMERCIAL,5930,110076,18.56
2019,3,INDUSTRIAL,181,83397,460.76
2019,3,OFICIAL,415,67699,163.13
2019,3,SUM. CONTRUCTOR,102,4980,48.82
2019,3,ESPECIAL,353,21949,62.18
2019,3,RURAL ESTRATO 1,1474,14565,9.88
2019,3,RURAL ESTRATO 2,1848,23783,12.87
2019,3,RURAL ESTRATO 3,835,10662,12.77
2019,3,RURAL ESTRATO 4,206,3814,18.51
2019,3,RURAL ESTRATO 5,97,1368,14.1
2019,3,RURAL ESTRATO 6,122,2141,17.55
2019,3,ESTRATO 1 Villamaria,27,295,10.93
2019,3,ESTRATO 2 Villamaria,8,49,6.13
2019,3,ESTRATO 3 Villamaria,3,60,20
2019,3,ESTRATO 4 Villamaria,731,10872,14.87
2019,3,COMERCIAL Villamaría,10,1050,105
2019,3,INDUSTRIAL Villamaría,1,493,493
2019,3,ESPECIAL Villamaria,2,143,71.5
2019,3,SUM. CONSTRUCTOR Villamaría,3,501,167
2019,4,ESTRATO 1,8935,99166,11.1
2019,4,ESTRATO 2,20353,248926,12.23
2019,4,ESTRATO 3,37730,436716,11.57
2019,4,ESTRATO 4,16334,161228,9.87
2019,4,ESTRATO 5,5981,55353,9.25
2019,4,ESTRATO 6,10661,107233,10.06
2019,4,COMERCIAL,5943,109279,18.39
2019,4,INDUSTRIAL,180,80338,446.32
2019,4,OFICIAL,415,60314,145.33
2019,4,SUM. CONTRUCTOR,103,4985,48.4
2019,4,ESPECIAL,353,20295,57.49
2019,4,RURAL ESTRATO 1,1487,14988,10.08
2019,4,RURAL ESTRATO 2,1850,25059,13.55
2019,4,RURAL ESTRATO 3,832,11258,13.53
2019,4,RURAL ESTRATO 4,207,4194,20.26
2019,4,RURAL ESTRATO 5,97,1349,13.91
2019,4,RURAL ESTRATO 6,122,2439,19.99
2019,4,ESTRATO 1 Villamaria,27,312,11.56
2019,4,ESTRATO 2 Villamaria,8,43,5.38
2019,4,ESTRATO 3 Villamaria,3,67,22.33
2019,4,ESTRATO 4 Villamaria,732,11266,15.39
2019,4,COMERCIAL Villamaría,10,726,72.6
2019,4,INDUSTRIAL Villamaría,1,390,390
2019,4,ESPECIAL Villamaria,2,111,55.5
2019,4,SUM. CONSTRUCTOR Villamaría,2,521,260.5
2019,5,ESTRATO 1,8965,97277,10.85
2019,5,ESTRATO 2,20427,240237,11.76
2019,5,ESTRATO 3,37839,441633,11.67
2019,5,ESTRATO 4,16347,164487,10.06
2019,5,ESTRATO 5,6001,55614,9.27
2019,5,ESTRATO 6,10675,109409,10.25
2019,5,COMERCIAL,5940,109790,18.48
2019,5,INDUSTRIAL,182,89004,489.03
2019,5,OFICIAL,415,60198,145.06
2019,5,SUM. CONTRUCTOR,104,5548,53.35
2019,5,ESPECIAL,354,22610,63.87
2019,5,RURAL ESTRATO 1,1468,13553,9.23
2019,5,RURAL ESTRATO 2,1811,22077,12.19
2019,5,RURAL ESTRATO 3,839,10360,12.35
2019,5,RURAL ESTRATO 4,210,3691,17.58
2019,5,RURAL ESTRATO 5,97,1159,11.95
2019,5,RURAL ESTRATO 6,122,1814,14.87
2019,5,ESTRATO 1 Villamaria,26,327,12.58
2019,5,ESTRATO 2 Villamaria,8,39,4.88
2019,5,ESTRATO 3 Villamaria,3,62,20.67
2019,5,ESTRATO 4 Villamaria,732,11641,15.9
2019,5,COMERCIAL Villamaría,10,794,79.4
2019,5,INDUSTRIAL Villamaría,1,413,413
2019,5,ESPECIAL Villamaria,2,134,67
