Mes;Consumo Bogotá (m3-mes);Consumo Soacha (m3-mes);Consumo Gachancipá (m3-mes);;;;;;;;;;;;;;;;;;
ene-19;11,55;12,61;28,57;;;;;;;;;;;;;;;;;;
feb-19;11,21;7,51;9,24;;;;;;;;;;;;;;;;;;
mar-19;11,06;8,05;9,23;;;;;;;;;;;;;;;;;;
abr-19;11,33;7,71;9,63;;;;;;;;;;;;;;;;;;
may-19;11,39;8,00;9,64;;;;;;;;;;;;;;;;;;
jun-19;11,34;7,72;10,00;;;;;;;;;;;;;;;;;;
jul-19;11,26;7,90;10,00;;;;;;;;;;;;;;;;;;
ago-19;11,32;7,72;10,06;;;;;;;;;;;;;;;;;;
sep-19;11,37;7,87;10,07;;;;;;;;;;;;;;;;;;
oct-19;11,34;7,73;10,18;;;;;;;;;;;;;;;;;;
nov-19;11,39;7,85;10,45;;;;;;;;;;;;;;;;;;
dic-19;11,35;7,73;10,45;;;;;;;;;;;;;;;;;;
ene-20;11,50;12,64;11,08;;;;;;;;;;;;;;;;;;
feb-20;11,12;7,53;11,03;;;;;;;;;;;;;;;;;;
mar-20;11,32;7,95;10,52;;;;;;;;;;;;;;;;;;
abr-20;11,14;7,52;10,52;;;;;;;;;;;;;;;;;;
may-20;11,09;7,71;10,55;;;;;;;;;;;;;;;;;;
jun-20;10,96;7,47;10,55;;;;;;;;;;;;;;;;;;
jul-20;10,89;7,44;10,50;;;;;;;;;;;;;;;;;;
ago-20;10,77;7,42;10,49;;;;;;;;;;;;;;;;;;
sep-20;10,76;7,47;10,44;;;;;;;;;;;;;;;;;;
oct-20;10,73;7,42;10,44;;;;;;;;;;;;;;;;;;
nov-20;10,79;7,43;10,56;;;;;;;;;;;;;;;;;;
dic-20;10,78;7,48;10,54;;;;;;;;;;;;;;;;;;
ene-21;11,35;7,62;11,04;;;;;;;;;;;;;;;;;;
feb-21;10,63;7,72;11,00;;;;;;;;;;;;;;;;;;
mar-21;10,68;7,80;11,50;;;;;;;;;;;;;;;;;;
abr-21;10,54;7,67;11,49;;;;;;;;;;;;;;;;;;
may-21;10,66;7,76;11,39;;;;;;;;;;;;;;;;;;
jun-21;10,56;7,64;11,39;;;;;;;;;;;;;;;;;;
jul-21;10,61;7,71;11,10;;;;;;;;;;;;;;;;;;
ago-21;10,55;7,63;11,1;;;;;;;;;;;;;;;;;;
sep-21;10,62;7,66;11,05;;;;;;;;;;;;;;;;;;
oct-21;10,61;7,64;11,05;;;;;;;;;;;;;;;;;;
nov-21;10,69;7,7;11,0;;;;;;;;;;;;;;;;;;
dic-21;10,64;7,65;11,0;;;;;;;;;;;;;;;;;;
ene-22;11,38;7,52;11,33;;;;;;;;;;;;;;;;;;
feb-22;10,70;7,56;11,26;;;;;;;;;;;;;;;;;;
mar-22;10,87;7,62;11,01;;;;;;;;;;;;;;;;;;
abr-22;10,87;7,60;11,00;;;;;;;;;;;;;;;;;;
may-22;10,90;7,62;11,01;;;;;;;;;;;;;;;;;;
jun-22;10,89;7,60;11,00;;;;;;;;;;;;;;;;;;
jul-22;10,90;7,60;11,09;;;;;;;;;;;;;;;;;;
ago-22;10,85;7,62;11,09;;;;;;;;;;;;;;;;;;
sep-22;10,85;7,60;11,00;;;;;;;;;;;;;;;;;;
oct-22;10,85;7,62;11,00;;;;;;;;;;;;;;;;;;
nov-22;10,86;7,59;11,00;;;;;;;;;;;;;;;;;;
dic-22;10,84;7,61;11,00;;;;;;;;;;;;;;;;;;
ene-23;12,43;7,68;11,40;;;;;;;;;;;;;;;;;;
feb-23;11,32;7,76;11,45;;;;;;;;;;;;;;;;;;
mar-23;11,11;7,63;11,24;;;;;;;;;;;;;;;;;;
abr-23;11,02;7,68;11,27;;;;;;;;;;;;;;;;;;
may-23;11,00;7,61;11,33;;;;;;;;;;;;;;;;;;
jun-23;10,95;7,64;11,36;;;;;;;;;;;;;;;;;;
jul-23;10,96;7,68;11,42;;;;;;;;;;;;;;;;;;
ago-23;10,92;7,71;11,44;;;;;;;;;;;;;;;;;;
sep-23;10,92;7,68;11,53;;;;;;;;;;;;;;;;;;
oct-23;10,91;7,70;11,56;;;;;;;;;;;;;;;;;;
nov-23;10,92;7,70;11,52;;;;;;;;;;;;;;;;;;
dic-23;10,91;7,72;11,52;;;;;;;;;;;;;;;;;;
ene-24;10,84;7,63;11,58;;;;;;;;;;;;;;;;;;
feb-24;10,62;7,73;11,58;;;;;;;;;;;;;;;;;;
mar-24;10,76;7,62;11,45;;;;;;;;;;;;;;;;;;
abr-24;10,72;7,67;11,46;;;;;;;;;;;;;;;;;;
may-24;10,68;7,63;11,45;;;;;;;;;;;;;;;;;;
jun-24;10,46;7,66;11,23;;;;;;;;;;;;;;;;;;
jul-24;10,31;7,49;11,23;;;;;;;;;;;;;;;;;;
ago-24;10,21;7,52;11,11;;;;;;;;;;;;;;;;;;
sep-24;10,19;7,46;11,11;;;;;;;;;;;;;;;;;;
oct-24;10,14;7,44;11,07;;;;;;;;;;;;;;;;;;
nov-24;10,15;7,44;11,07;;;;;;;;;;;;;;;;;;
dic-24;10,08;7,42;11,03;;;;;;;;;;;;;;;;;;
